year,year_index,state,total_installed_capacity_mw,wasteland_area_km2,wasteland_mapping_year,wasteland_atlas_publication_year,total_geographical_area_km2,wasteland_percentage_of_tga,nise_ground_mounted_pv_potential_gwp,nise_potential_year,scenario,usable_wasteland_fraction,solar_potential_fraction,available_solar_land_km2,land_requirement_km2_per_gw,land_limited_capacity_gw,solar_potential_limited_capacity_gw,carrying_capacity_gw,carrying_capacity_mw,limiting_constraint,installed_fraction_of_carrying_capacity,installed_percent_of_carrying_capacity,constraint_note
2017,3,Karnataka,1047.18,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.015831,1.583,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2017,3,Karnataka,1047.18,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.010554,1.055,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2018,4,Karnataka,4854.87,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.146787,14.679,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2018,4,Karnataka,4854.87,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.073394,7.339,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2018,4,Karnataka,4854.87,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.048929,4.893,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2019,5,Karnataka,6143.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.185760,18.576,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2019,5,Karnataka,6143.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.092880,9.288,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2019,5,Karnataka,6143.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.061920,6.192,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2020,6,Karnataka,7099.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.214659,21.466,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2020,6,Karnataka,7099.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.107330,10.733,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2020,6,Karnataka,7099.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.071553,7.155,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2021,7,Karnataka,7416.34,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.224233,22.423,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2021,7,Karnataka,7416.34,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.112117,11.212,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2021,7,Karnataka,7416.34,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.074744,7.474,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2022,8,Karnataka,7590.81,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.229508,22.951,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2022,8,Karnataka,7590.81,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.114754,11.475,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2022,8,Karnataka,7590.81,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.076503,7.650,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2023,9,Karnataka,8241.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.249179,24.918,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2023,9,Karnataka,8241.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.124590,12.459,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2023,9,Karnataka,8241.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.083060,8.306,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2024,10,Karnataka,8544.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.258349,25.835,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2024,10,Karnataka,8544.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.129174,12.917,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2024,10,Karnataka,8544.68,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.086116,8.612,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2025,11,Karnataka,9679.66,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.292665,29.266,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2025,11,Karnataka,9679.66,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.146332,14.633,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2025,11,Karnataka,9679.66,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.097555,9.755,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2026,12,Karnataka,11101.64,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.335659,33.566,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2026,12,Karnataka,11101.64,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.167829,16.783,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2026,12,Karnataka,11101.64,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.111886,11.189,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
