region,geography_level,fiscal_year_end_year,fiscal_year_label,period_start_date,period_end_date,data_type,series,record_type,capacity_gw,module_type,value_basis
Gujarat,State,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,High,Annual addition,14.9098490224,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,Conservative,Annual addition,2.3366715114,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,Medium,Annual addition,8.1211380391,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,High,Annual addition,14.2904380858,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,Conservative,Annual addition,1.5233777200,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,Medium,Annual addition,6.3873876104,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,High,Annual addition,12.6518257016,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,Conservative,Annual addition,0.9646620633,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,Medium,Annual addition,4.7446186592,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,High,Annual addition,10.4378747172,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,Conservative,Annual addition,0.5996454691,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,Medium,Annual addition,3.3767761947,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,High,Annual addition,8.1214145483,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,Conservative,Annual addition,0.3684626873,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,Medium,Annual addition,2.3307773475,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,High,Annual addition,6.0357388119,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2036,FY2035-36,2035-04-01,2036-03-31,Forecast,Conservative,Annual addition,0.2248022916,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2036,FY2035-36,2035-04-01,2036-03-31,Forecast,Medium,Annual addition,1.5749764315,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2036,FY2035-36,2035-04-01,2036-03-31,Forecast,High,Annual addition,4.3344871118,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2037,FY2036-37,2036-04-01,2037-03-31,Forecast,Conservative,Annual addition,0.1365585947,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2037,FY2036-37,2036-04-01,2037-03-31,Forecast,Medium,Annual addition,1.0490402251,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2037,FY2036-37,2036-04-01,2037-03-31,Forecast,High,Annual addition,3.0366829541,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2038,FY2037-38,2037-04-01,2038-03-31,Forecast,Conservative,Annual addition,0.0827349337,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2038,FY2037-38,2037-04-01,2038-03-31,Forecast,Medium,Annual addition,0.6920442171,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2038,FY2037-38,2037-04-01,2038-03-31,Forecast,High,Annual addition,2.0907649616,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2039,FY2038-39,2038-04-01,2039-03-31,Forecast,Conservative,Annual addition,0.0500452274,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2039,FY2038-39,2038-04-01,2039-03-31,Forecast,Medium,Annual addition,0.4536447776,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2039,FY2038-39,2038-04-01,2039-03-31,Forecast,High,Annual addition,1.4223110988,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2040,FY2039-40,2039-04-01,2040-03-31,Forecast,Conservative,Annual addition,0.0302423261,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2040,FY2039-40,2039-04-01,2040-03-31,Forecast,Medium,Annual addition,0.2961331537,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2040,FY2039-40,2039-04-01,2040-03-31,Forecast,High,Annual addition,0.9596846999,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2041,FY2040-41,2040-04-01,2041-03-31,Forecast,Conservative,Annual addition,0.0182647244,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2041,FY2040-41,2040-04-01,2041-03-31,Forecast,Medium,Annual addition,0.1927858368,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2041,FY2040-41,2040-04-01,2041-03-31,Forecast,High,Annual addition,0.6439622154,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2042,FY2041-42,2041-04-01,2042-03-31,Forecast,Conservative,Annual addition,0.0110269976,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2042,FY2041-42,2041-04-01,2042-03-31,Forecast,Medium,Annual addition,0.1252831580,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2042,FY2041-42,2041-04-01,2042-03-31,Forecast,High,Annual addition,0.4305056476,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2043,FY2042-43,2042-04-01,2043-03-31,Forecast,Conservative,Annual addition,0.0066559276,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2043,FY2042-43,2042-04-01,2043-03-31,Forecast,Medium,Annual addition,0.0813222474,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2043,FY2042-43,2042-04-01,2043-03-31,Forecast,High,Annual addition,0.2870900173,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2044,FY2043-44,2043-04-01,2044-03-31,Forecast,Conservative,Annual addition,0.0040170187,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2044,FY2043-44,2043-04-01,2044-03-31,Forecast,Medium,Annual addition,0.0527473755,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2044,FY2043-44,2043-04-01,2044-03-31,Forecast,High,Annual addition,0.1911337276,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2045,FY2044-45,2044-04-01,2045-03-31,Forecast,Conservative,Annual addition,0.0024241823,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2045,FY2044-45,2044-04-01,2045-03-31,Forecast,Medium,Annual addition,0.0341964784,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2045,FY2044-45,2044-04-01,2045-03-31,Forecast,High,Annual addition,0.1271092296,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2046,FY2045-46,2045-04-01,2046-03-31,Forecast,Conservative,Annual addition,0.0014628720,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2046,FY2045-46,2045-04-01,2046-03-31,Forecast,Medium,Annual addition,0.0221628260,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2046,FY2045-46,2045-04-01,2046-03-31,Forecast,High,Annual addition,0.0844691094,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2047,FY2046-47,2046-04-01,2047-03-31,Forecast,Conservative,Annual addition,0.0008827445,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2047,FY2046-47,2046-04-01,2047-03-31,Forecast,Medium,Annual addition,0.0143608530,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2047,FY2046-47,2046-04-01,2047-03-31,Forecast,High,Annual addition,0.0561056733,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2048,FY2047-48,2047-04-01,2048-03-31,Forecast,Conservative,Annual addition,0.0005326676,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2048,FY2047-48,2047-04-01,2048-03-31,Forecast,Medium,Annual addition,0.0093041755,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2048,FY2047-48,2047-04-01,2048-03-31,Forecast,High,Annual addition,0.0372541654,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2049,FY2048-49,2048-04-01,2049-03-31,Forecast,Conservative,Annual addition,0.0003214201,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2049,FY2048-49,2048-04-01,2049-03-31,Forecast,Medium,Annual addition,0.0060275155,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2049,FY2048-49,2048-04-01,2049-03-31,Forecast,High,Annual addition,0.0247314398,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2050,FY2049-50,2049-04-01,2050-03-31,Forecast,Conservative,Annual addition,0.0001939489,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2050,FY2049-50,2049-04-01,2050-03-31,Forecast,Medium,Annual addition,0.0039045830,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2050,FY2049-50,2049-04-01,2050-03-31,Forecast,High,Annual addition,0.0164157939,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2014,FY2013-14,,2014-03-31,Historical,Actual,Opening stock,2.82194,Unspecified,Observed cumulative stock as of 2014-03-31; installation-age distribution unresolved
India,Country,2015,FY2014-15,2014-04-01,2015-03-31,Historical,Actual,Annual addition,1.17161,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2016,FY2015-16,2015-04-01,2016-03-31,Historical,Actual,Annual addition,3.13036,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2017,FY2016-17,2016-04-01,2017-03-31,Historical,Actual,Annual addition,5.67245,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2018,FY2017-18,2017-04-01,2018-03-31,Historical,Actual,Annual addition,9.08572,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2019,FY2018-19,2018-04-01,2019-03-31,Historical,Actual,Annual addition,7.08991,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2020,FY2019-20,2019-04-01,2020-03-31,Historical,Actual,Annual addition,5.52415,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2021,FY2020-21,2020-04-01,2021-03-31,Historical,Actual,Annual addition,6.47596,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2022,FY2021-22,2021-04-01,2022-03-31,Historical,Actual,Annual addition,13.02874,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2023,FY2022-23,2022-04-01,2023-03-31,Historical,Actual,Annual addition,12.77952,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2024,FY2023-24,2023-04-01,2024-03-31,Historical,Actual,Annual addition,15.03324,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2025,FY2024-25,2024-04-01,2025-03-31,Historical,Actual,Annual addition,23.83289,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2026,FY2025-26,2025-04-01,2026-03-31,Historical,Actual,Annual addition,44.61421,Unspecified,Difference of consecutive historical cumulative capacities
India,Country,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,Conservative,Annual addition,29.3864725438,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,Medium,Annual addition,32.5310192733,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,High,Annual addition,34.2302560474,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,Conservative,Annual addition,43.0009442902,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,Medium,Annual addition,47.4816288000,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,High,Annual addition,50.0576175787,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,Conservative,Annual addition,49.0323096865,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,Medium,Annual addition,56.7492006440,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,High,Annual addition,61.4327135800,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,Conservative,Annual addition,54.0936433289,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,Medium,Annual addition,66.2715442099,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,High,Annual addition,74.1610811329,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,Conservative,Annual addition,57.5461082864,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,Medium,Annual addition,75.3288060883,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2031,FY2030-31,2030-04-01,2031-03-31,Forecast,High,Annual addition,87.7671056960,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,Conservative,Annual addition,58.8982946088,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,Medium,Annual addition,83.0390723749,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2032,FY2031-32,2031-04-01,2032-03-31,Forecast,High,Annual addition,101.4620638196,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,Conservative,Annual addition,57.9455187918,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,Medium,Annual addition,88.5016644758,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2033,FY2032-33,2032-04-01,2033-03-31,Forecast,High,Annual addition,114.1626552144,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,Conservative,Annual addition,54.8327185644,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,Medium,Annual addition,90.9957599453,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2034,FY2033-34,2033-04-01,2034-03-31,Forecast,High,Annual addition,124.6074528948,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,Conservative,Annual addition,50.0096344119,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,Medium,Annual addition,90.1695807996,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2035,FY2034-35,2034-04-01,2035-03-31,Forecast,High,Annual addition,131.5756876097,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2036,FY2035-36,2035-04-01,2036-03-31,Forecast,Conservative,Annual addition,44.1007550118,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
India,Country,2036,FY2035-36,2035-04-01,2036-03-31,Forecast,Medium,Annual addition,86.1412243988,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
